date,pop,wpop,wpct,bpop,bpct
1900,3437202,3369898,98.04,60666,1.76
1910,4766883,4669162,97.95,91709,1.92
1920,5620048,5459463,97.14,152467,2.71
1930,6930446,6589377,95.08,327706,4.73
1940,7454995,6977501,93.59,458444,6.15
1950,7891957,7116441,90.17,747608,9.47
1960,7781984,6640662,85.33,1087931,13.98
1970,7894862,6048841,76.62,1668115,21.13
1980,7071639,4294075,60.72,1784337,25.23
1990,7322564,3827088,52.26,2102512,28.71
2000,8008278,3576385,44.66,2129762,26.59
2010,8175133,3597341,44.00,2088510,25.55
2020,8804190,3000945,34.09,1943645,22.08