date,pop,wpop,wpct,bpop,bpct
1900,3.437202,3.369898,98.04,0.060666,1.76
1910,4.766883,4.669162,97.95,0.091709,1.92
1920,5.620048,5.459463,97.14,0.152467,2.71
1930,6.930446,6.589377,95.08,0.327706,4.73
1940,7.454995,6.977501,93.59,0.458444,6.15
1950,7.891957,7.116441,90.17,0.747608,9.47
1960,7.781984,6.640662,85.33,1.087931,13.98
1970,7.894862,6.048841,76.62,1.668115,21.13
1980,7.071639,4.294075,60.72,1.784337,25.23
1990,7.322564,3.827088,52.26,2.102512,28.71
2000,8.008278,3.576385,44.66,2.129762,26.59
2010,8.175133,3.597341,44.00,2.088510,25.55
2020,8.804190,3.000945,34.09,1.943645,22.08